0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
296, 14
283, 61
280, 71
272, 98
268, 110
264, 124
263, 127
261, 130
261, 131
261, 132
261, 132
259, 133
257, 135
252, 142
247, 146
235, 158
228, 164
221, 172
203, 187
188, 199
180, 207
158, 227
150, 235
142, 244
127, 266
120, 278
110, 297
110, 297
110, 297
110, 297
110, 297
110, 297
110, 297
110, 297
110, 297
110, 297
110, 297
110, 297
110, 297
110, 297
110, 297
110, 297
110, 297
110, 297
110, 297
110, 300
115, 307
119, 312
123, 318
138, 335
161, 357
167, 362
187, 380
195, 385
203, 391
220, 399
227, 402
239, 407
245, 408
263, 411
272, 412
291, 413
300, 414
320, 414
325, 414
345, 411
360, 407
373, 402
381, 398
389, 395
402, 388
415, 380
420, 376
432, 368
437, 363
443, 357
452, 346
457, 341
466, 331
470, 327
478, 318
481, 314
488, 306
491, 302
499, 293
502, 288
509, 276
511, 270
516, 258
516, 253
517, 241
514, 236
494, 218
489, 214
466, 202
454, 196
441, 192
424, 190
414, 189
405, 189
400, 189
397, 189
388, 192
379, 200
373, 205
363, 215
360, 218
353, 226
352, 229
350, 233
350, 234
350, 240
351, 244
355, 253
357, 258
364, 275
369, 283
379, 301
387, 312
418, 349
435, 367
463, 388
482, 399
517, 412
517, 412
517, 412
517, 412
517, 412
517, 412
517, 412
517, 412
517, 412
517, 412
517, 412
517, 412
517, 412
517, 412
517, 412
517, 412
517, 412
517, 412
517, 412
521, 416
524, 420
524, 420
530, 433
537, 453
538, 458
541, 477
542, 484
542, 498
539, 503
533, 512
520, 522
510, 528
486, 540
474, 545
447, 554
432, 557
415, 559
411, 559
396, 560
380, 560
374, 557
370, 554
364, 549
361, 545
358, 542
357, 541
355, 539
355, 538
355, 535
355, 533
358, 531
370, 521
401, 504
409, 501
440, 492
453, 490
459, 490
478, 489
494, 489
500, 490
511, 494
516, 496
520, 498
530, 502
535, 505
552, 511
556, 512
571, 515
576, 515
591, 516
598, 516
614, 513
625, 508
660, 484
676, 470
698, 447
704, 440
722, 418
727, 410
731, 396
732, 390
731, 380
726, 370
706, 334
701, 327
675, 281
662, 258
656, 248
641, 230
632, 222
618, 211
615, 210
603, 206
602, 206
597, 206
595, 207
591, 213
589, 216
585, 227
584, 233
580, 255
580, 265
580, 288
584, 300
592, 318
601, 338
610, 352
615, 360
626, 374
631, 380
635, 385
